State,Action,QValue
HPState: 13; ManaState: 0; LevelState: 1,DivineSmite(Skelleton0),-0.7081074
HPState: 13; ManaState: 0; LevelState: 1,GetHealthPotion(HealthPotion1),0.280811
HPState: 13; ManaState: 7; LevelState: 1,PickUpChest(Chest1),-1.082927
HPState: 13; ManaState: 7; LevelState: 1,PickUpChest(Chest4),5.837425
HPState: 13; ManaState: 7; LevelState: 1,PickUpChest(Chest2),0.945378
HPState: 13; ManaState: 7; LevelState: 1,PickUpChest(Chest0),-0.3125021
HPState: 13; ManaState: 7; LevelState: 1,DivineSmite(Skelleton1),-0.7001427
HPState: 13; ManaState: 7; LevelState: 1,PickUpChest(Chest3),0.1947384
HPState: 13; ManaState: 7; LevelState: 1,DivineSmite(Skelleton2),2.052167
HPState: 13; ManaState: 7; LevelState: 1,DivineSmite(Skelleton3),-0.6570749
HPState: 13; ManaState: 7; LevelState: 1,DivineSmite(Skelleton4),-0.8023646
HPState: 13; ManaState: 7; LevelState: 1,DivineSmite(Skelleton0),0.6842294
HPState: 13; ManaState: 7; LevelState: 1,LevelUp,-0.8724026
HPState: 13; ManaState: 7; LevelState: 1,GetHealthPotion(HealthPotion0),-0.05198016
HPState: 13; ManaState: 7; LevelState: 1,GetHealthPotion(HealthPotion1),-0.09972501
HPState: 1; ManaState: 7; LevelState: 1,PickUpChest(Chest4),-49.97034
HPState: 1; ManaState: 7; LevelState: 1,GetManaPotion(ManaPotion0),1.034952
HPState: 1; ManaState: 7; LevelState: 1,PickUpChest(Chest3),-28.44022
HPState: 1; ManaState: 7; LevelState: 1,PickUpChest(Chest0),6.68107
HPState: 1; ManaState: 7; LevelState: 1,PickUpChest(Chest2),4.472717
HPState: 1; ManaState: 7; LevelState: 1,PickUpChest(Chest1),-27.91752
HPState: 1; ManaState: 7; LevelState: 1,DivineSmite(Skelleton2),-4.615878
HPState: 1; ManaState: 7; LevelState: 1,DivineSmite(Skelleton1),-1.353011
HPState: 1; ManaState: 7; LevelState: 1,ShieldOfFaith,17.57422
HPState: 1; ManaState: 7; LevelState: 1,DivineSmite(Skelleton3),-4.505569
HPState: 1; ManaState: 7; LevelState: 1,DivineSmite(Skelleton0),0.7889298
